time,pino,tagid
2022-10-08 12:17:00,1.0,82019F0C
2022-10-08 12:17:00,2.0,82019BF6
2022-10-08 12:17:00,4.0,82019F4E
2022-10-08 12:17:00,4.0,8201A1B6
2022-10-08 12:17:00,5.0,82019CFB
2022-10-08 12:17:00,3.0,82019E4E
2022-10-08 12:17:00,5.0,82019B41
2022-10-08 12:17:00,1.0,82018F34
2022-10-08 12:17:00,3.0,820198D4
2022-10-08 12:17:00,5.0,82019C19
2022-10-08 12:17:00,4.0,8201A1C7
2022-10-08 12:17:00,1.0,82019A29
2022-10-08 12:17:02,5.0,82019A5C
2022-10-08 12:17:02,2.0,82019BF6
2022-10-08 12:17:02,4.0,8201A1B6
2022-10-08 12:17:02,2.0,8201A30D
2022-10-08 12:17:02,3.0,82019B2F
2022-10-08 12:17:02,5.0,82019C19
2022-10-08 12:17:02,3.0,8201A32E
2022-10-08 12:17:02,3.0,82019C9E
2022-10-08 12:17:02,5.0,82019B41
2022-10-08 12:17:02,4.0,82019572
2022-10-08 12:17:02,4.0,8201A1C7
2022-10-08 12:17:02,1.0,82019F0C
2022-10-08 12:17:02,1.0,82019F4E
2022-10-08 12:17:02,5.0,82019BEC
2022-10-08 12:17:02,3.0,82019E4E
2022-10-08 12:17:02,1.0,82018F34
2022-10-08 12:17:02,2.0,820198D4
2022-10-08 12:17:02,1.0,82019A29
2022-10-08 12:17:02,5.0,82019CFB
2022-10-08 12:17:04,5.0,82019A5C
2022-10-08 12:17:04,5.0,82019BEC
2022-10-08 12:17:04,2.0,820198D4
2022-10-08 12:17:04,5.0,82019C19
2022-10-08 12:17:04,3.0,82019B2F
2022-10-08 12:17:04,2.0,82019BF6
2022-10-08 12:17:04,5.0,82019B41
2022-10-08 12:17:04,5.0,82019C9E
2022-10-08 12:17:04,4.0,82019572
2022-10-08 12:17:04,1.0,82019F0C
2022-10-08 12:17:04,3.0,82019E4E
2022-10-08 12:17:04,5.0,82019CFB
2022-10-08 12:17:04,1.0,82019A29
2022-10-08 12:17:04,2.0,8201A30D
2022-10-08 12:17:04,4.0,8201A1B6
2022-10-08 12:17:04,1.0,82018F34
2022-10-08 12:17:04,4.0,8201A1C7
2022-10-08 12:17:04,3.0,8201A32E
2022-10-08 12:17:04,1.0,82019F4E
2022-10-08 12:17:06,5.0,82019A5C
2022-10-08 12:17:06,3.0,82019B2F
2022-10-08 12:17:06,1.0,82019A29
2022-10-08 12:17:06,5.0,82019C19
2022-10-08 12:17:06,5.0,82019CFB
2022-10-08 12:17:06,3.0,8201A32E
2022-10-08 12:17:06,4.0,8201A1C7
2022-10-08 12:17:06,4.0,8201A1B6
2022-10-08 12:17:06,5.0,82019BEC
2022-10-08 12:17:06,2.0,8201A30D
2022-10-08 12:17:06,5.0,82019B41
2022-10-08 12:17:06,1.0,82018F34
2022-10-08 12:17:06,2.0,820198D4
2022-10-08 12:17:06,3.0,82019E4E
2022-10-08 12:17:06,1.0,82019F4E
2022-10-08 12:17:06,5.0,82019F0C
2022-10-08 12:17:06,2.0,82019BF6
2022-10-08 12:17:06,5.0,82019C9E
2022-10-08 12:17:06,4.0,82019572
2022-10-08 12:17:08,1.0,82018F34
