時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧,piNo
2022/10/08 10:53:37.055,1,820198E4,No Relay,63,90,3140,2
2022/10/08 10:53:37.062,1,820198E4,No Relay,63,105,3140,3
2022/10/08 10:53:37.071,1,820198E4,No Relay,63,141,3140,5
2022/10/08 10:53:37.777,1,82019EFE,No Relay,65,66,3150,2
2022/10/08 10:53:37.782,1,82019EFE,No Relay,65,132,3150,5
2022/10/08 10:53:39.787,1,820198E4,No Relay,64,141,3140,5
2022/10/08 10:53:40.301,1,82019EFE,No Relay,66,105,3150,3
2022/10/08 10:53:40.302,1,82019EFE,No Relay,66,75,3150,2
2022/10/08 10:53:40.307,1,82019EFE,No Relay,66,132,3150,5
2022/10/08 10:53:42.592,1,820198E4,No Relay,65,99,3140,3
2022/10/08 10:53:42.602,1,820198E4,No Relay,65,141,3140,5
2022/10/08 10:53:42.763,1,82019EFE,No Relay,67,75,3150,2
2022/10/08 10:53:42.767,1,82019EFE,No Relay,67,132,3150,5
2022/10/08 10:53:45.379,1,820198E4,No Relay,66,93,3140,2
2022/10/08 10:53:45.387,1,820198E4,No Relay,66,105,3140,3
2022/10/08 10:53:45.397,1,820198E4,No Relay,66,138,3140,5
2022/10/08 10:53:45.575,1,82019EFE,No Relay,68,93,3150,3
2022/10/08 10:53:45.579,1,82019EFE,No Relay,68,132,3150,5
2022/10/08 10:53:48.022,1,82019EFE,No Relay,69,96,3150,2
2022/10/08 10:53:48.038,1,82019EFE,No Relay,69,138,3150,5
2022/10/08 10:53:48.185,1,820198E4,No Relay,67,105,3140,3
2022/10/08 10:53:48.191,1,820198E4,No Relay,67,84,3140,2
2022/10/08 10:53:48.194,1,820198E4,No Relay,67,132,3140,5
2022/10/08 10:53:50.452,1,82019EFE,No Relay,70,93,3150,2
2022/10/08 10:53:50.453,1,82019EFE,No Relay,70,78,3150,3
2022/10/08 10:53:50.468,1,82019EFE,No Relay,70,132,3150,5
2022/10/08 10:53:50.821,1,820198E4,No Relay,68,105,3140,3
2022/10/08 10:53:50.831,1,820198E4,No Relay,68,135,3140,5
2022/10/08 10:53:53.008,1,82019EFE,No Relay,71,99,3150,2
2022/10/08 10:53:53.010,1,82019EFE,No Relay,71,96,3150,3
2022/10/08 10:53:53.023,1,82019EFE,No Relay,71,132,3150,5
2022/10/08 10:53:53.498,1,820198E4,No Relay,69,69,3140,2
2022/10/08 10:53:53.506,1,820198E4,No Relay,69,102,3140,3
2022/10/08 10:53:55.597,1,82019EFE,No Relay,72,96,3150,2
2022/10/08 10:53:55.600,1,82019EFE,No Relay,72,78,3150,3
2022/10/08 10:53:55.612,1,82019EFE,No Relay,72,132,3150,5
2022/10/08 10:53:56.167,1,820198E4,No Relay,70,84,3140,2
